order of tiretypes 	 1st pitstoplap 	 2nd pitstoplap 	 total race time 	 riskfactor
Soft-Soft-Medium	3	26	5826.68	Medium
Soft-Soft-Medium	3	27	5827.04	Low
Soft-Medium-Soft	3	26	5827.08	Very High
Soft-Soft-Medium	3	28	5827.51	Low
Soft-Soft-Medium	3	19	5827.57	High
Soft-Soft-Medium	3	18	5827.77	Very High
Soft-Medium-Soft	3	27	5827.84	High
Soft-Soft-Medium	3	17	5827.97	Failure!
Soft-Medium-Soft	3	29	5828.62	Medium
Soft-Medium-Soft	3	28	5828.71	High
Soft-Medium-Medium	3	29	5829.16	Low
Soft-Medium-Medium	3	30	5829.3	Low
Soft-Medium-Medium	3	31	5829.54	Low
Soft-Medium-Soft	3	30	5829.77	Medium
Soft-Medium-Medium	3	32	5829.91	Low
Soft-Medium-Medium	3	33	5830.41	Low
Soft-Medium-Medium	3	34	5831.07	Low
Soft-Medium-Soft	3	31	5831.1	Medium
Soft-Medium-Medium	3	28	5831.3	Low
Soft-Medium-Medium	3	27	5831.3	Low
Soft-Medium-Medium	3	26	5831.3	Medium
Soft-Medium-Medium	3	25	5831.3	Medium
Soft-Medium-Medium	3	24	5831.3	Medium
Soft-Medium-Medium	3	23	5831.3	Medium
Soft-Medium-Medium	3	22	5831.3	Medium
Soft-Medium-Medium	3	21	5831.3	High
Soft-Medium-Medium	3	20	5831.3	High
Soft-Medium-Medium	3	19	5831.3	High
Soft-Medium-Medium	3	18	5831.31	Very High
Soft-Medium-Medium	3	17	5831.31	Failure!
Soft-Medium-Medium	3	35	5831.89	Low
Soft-Medium-Soft	3	32	5832.61	Medium
Soft-Medium-Medium	3	36	5832.88	Low
Soft-Medium-Soft	3	33	5834.31	Low
Soft-Medium-Soft	3	34	5836.22	Low
Soft-Medium-Soft	3	35	5838.34	Low
Soft-Medium-Hard	3	36	5839.46	Low
Soft-Medium-Hard	3	35	5839.51	Low
Soft-Soft-Hard	3	28	5840.66	Low
Soft-Medium-Soft	3	36	5840.7	Low
Soft-Medium-Hard	3	34	5840.73	Low
Soft-Soft-Hard	3	27	5840.79	Low
Soft-Medium-Hard	3	33	5841.0	Low
Soft-Soft-Hard	3	26	5841.03	Low
Soft-Medium-Hard	3	32	5841.35	Low
Soft-Hard-Soft	3	25	5841.36	Failure!
Soft-Soft-Hard	3	25	5841.36	Low
Soft-Hard-Medium	3	17	5841.45	Failure!
Soft-Medium-Hard	3	31	5841.77	Low
