Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.0	75.4	76.0	23.0	2	72
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Medium-Soft	9		5989.9356	Klapband!
Medium-Soft	10		5990.038	Klapband!
Medium-Soft	11		5990.110639999998	Klapband!
Medium-Soft	12		5990.153519999999	Klapband!
Medium-Soft	13		5990.166639999999	Klapband!
Medium-Soft	14		5990.149999999999	Klapband!
Medium-Soft	15		5990.1035999999995	Klapband!
Medium-Soft	16		5990.027439999999	Klapband!
Medium-Soft	17		5989.921519999999	Klapband!
Medium-Soft	18		5989.78584	Klapband!
Medium-Soft	19		5989.620399999999	Klapband!
Medium-Soft	20		5989.425199999999	Klapband!
Medium-Soft	21		5989.200239999999	Klapband!
Medium-Soft	22		5988.900879999998	Klapband!
Medium-Soft	23		5988.475039999998	Klapband!
Medium-Soft	24		5987.922719999998	Klapband!
Medium-Soft	25		5987.243919999998	Klapband!
Medium-Soft	26		5986.438639999998	Klapband!
Medium-Soft	27		5984.552699999999	Klapband!
Medium-Soft	28		5982.6072399999985	Klapband!
Medium-Soft	29		5980.602259999999	Klapband!
Medium-Soft	30		5978.537759999998	Klapband!
Medium-Soft	31		5976.413739999999	Klapband!
Medium-Soft	32		5974.230199999999	Klapband!
Medium-Soft	33		5971.987139999998	Klapband!
Medium-Soft	34		5969.684559999999	Klapband!
Medium-Soft	35		5967.3224599999985	Klapband!
Medium-Soft	36		5964.900839999999	Klapband!
Medium-Soft	37		5962.4196999999995	Klapband!
Medium-Soft	38		5959.879039999999	Klapband!
Medium-Soft	39		5957.278859999999	Klapband!
Medium-Soft	40		5954.619159999999	Klapband!
Medium-Soft	41		5951.899939999998	Klapband!
Medium-Soft	42		5949.121199999999	Klapband!
Medium-Soft	43		5946.282939999998	Klapband!
Medium-Soft	44		5943.385159999999	Klapband!
Medium-Soft	45		5940.427859999999	Klapband!
Medium-Soft	46		5937.411039999998	Klapband!
Medium-Soft	47		5934.3346999999985	Klapband!
Medium-Soft	48		5931.198839999999	Klapband!
Medium-Soft	49		5928.003459999999	Klapband!
Medium-Soft	50		5924.748559999999	Klapband!
Medium-Soft	51		5921.434139999999	Klapband!
Medium-Soft	52		5918.060199999999	Klapband!
Medium-Soft	53		5914.626739999999	Klapband!
Medium-Soft	54		5911.133759999999	Klapband!
Medium-Soft	55		5907.581259999999	Klapband!
Medium-Soft	56		5903.969239999999	Klapband!
Medium-Soft	57		5900.2977	Klapband!
Medium-Soft	58		5896.56664	Klapband!
Medium-Soft	59		5892.77606	Klapband!
Medium-Soft	60		5888.9259600000005	Klapband!
Medium-Soft	61		5885.01634	Klapband!
Medium-Soft	62		5881.0472	Klapband!
Medium-Soft	63		5877.01854	Klapband!
Medium-Soft	64		5872.930359999999	Klapband!
Medium-Soft	65		5868.78266	Klapband!
Medium-Soft	66		5864.5754400000005	Klapband!
Medium-Soft	67		5860.3087000000005	Klapband!
Medium-Soft	68		5855.982440000001	Klapband!
Medium-Soft	69		5851.596660000001	Klapband!
Medium-Soft	70		5847.151360000001	Klapband!
Medium-Soft	71		5842.646540000001	Klapband!
Medium-Soft	72		5838.082200000001	Klapband!
Soft-Hard	1		5828.93308	Klapband!
Soft-Hard	2		5827.98516	Klapband!
Soft-Hard	3		5827.06328	Klapband!
Soft-Hard	4		5826.16744	Klapband!
Soft-Hard	5		5825.29764	Klapband!
Soft-Hard	6		5824.45388	Klapband!
Soft-Hard	7		5823.63616	Klapband!
Soft-Hard	8		5822.84448	Klapband!
Soft-Hard	9		5822.07884	Klapband!
Soft-Hard	10		5821.33924	Klapband!
Soft-Hard	11		5820.62568	Klapband!
Soft-Hard	12		5819.93816	Klapband!
Soft-Hard	13		5819.27668	zeer hoog
Soft-Hard	14		5818.64124	zeer hoog
Soft-Hard	15		5818.031840000001	hoog
Soft-Hard	16		5817.44848	hoog
Soft-Hard	17		5816.89116	hoog
Soft-Hard	18		5816.35988	gemiddeld
Soft-Hard	19		5815.8546400000005	gemiddeld
Soft-Hard	20		5815.37544	gemiddeld
Soft-Hard	21		5814.922280000001	gemiddeld
Soft-Hard	22		5814.5398000000005	gemiddeld
Soft-Hard	23		5814.28008	hoog
Soft-Hard	24		5814.143120000001	zeer hoog
Soft-Hard	25		5814.12892	zeer hoog
Soft-Hard	26		5814.23748	Klapband!
Soft-Hard	27		5814.468800000001	Klapband!
Soft-Hard	28		5814.822880000001	Klapband!
Soft-Hard	29		5815.299720000001	Klapband!
Soft-Hard	30		5815.89932	Klapband!
Soft-Hard	31		5816.62168	Klapband!
Soft-Hard	32		5817.4668	Klapband!
Soft-Hard	33		5818.43468	Klapband!
Soft-Hard	34		5819.52532	Klapband!
Soft-Hard	35		5820.73872	Klapband!
Soft-Hard	36		5822.07488	Klapband!
Soft-Hard	37		5823.5338	Klapband!
Soft-Hard	38		5825.11548	Klapband!
Soft-Hard	39		5826.81992	Klapband!
Soft-Hard	40		5828.6471200000005	Klapband!
Soft-Hard	41		5830.5970800000005	Klapband!
Soft-Hard	42		5832.669800000001	Klapband!
Soft-Hard	43		5834.865280000001	Klapband!
Soft-Hard	44		5837.1835200000005	Klapband!
Soft-Hard	45		5839.62452	Klapband!
Soft-Hard	46		5842.18828	Klapband!
