Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.2	75.6	75.7	23.0	3	72
volgorde bandentypes 	 1e pitstopronde 	 2e pitstopronde 	 3e pitstopronde 	 totale race tijd (hoe kleiner hoe beter) 	 risicofactor
Hard-Medium-Medium	22	44		5773.13	laag
Hard-Medium-Medium	22	45		5772.49	laag
Hard-Medium-Medium	22	46		5772.05	laag
Hard-Medium-Medium	22	47		5771.79	laag
Hard-Medium-Medium	22	48		5771.73	laag
Hard-Medium-Medium	22	49		5771.87	laag
Hard-Medium-Medium	22	50		5772.03	laag
Hard-Medium-Medium	22	51		5772.49	gemiddeld
Hard-Medium-Medium	22	52		5773.26	gemiddeld
Hard-Medium-Medium	22	53		5774.33	gemiddeld
Hard-Medium-Medium	23	43		5774.12	laag
Hard-Medium-Medium	23	44		5773.2	laag
Hard-Medium-Medium	23	45		5772.47	laag
Hard-Medium-Medium	23	46		5771.93	laag
Hard-Medium-Medium	23	47		5771.58	laag
Hard-Medium-Medium	23	48		5771.43	laag
Hard-Medium-Medium	23	49		5771.48	laag
Hard-Medium-Medium	23	50		5771.72	laag
Hard-Medium-Medium	23	51		5771.99	laag
Hard-Medium-Medium	23	52		5772.56	gemiddeld
Hard-Medium-Medium	23	53		5773.45	gemiddeld
Hard-Medium-Medium	23	54		5774.64	gemiddeld
Hard-Medium-Medium	24	43		5774.46	laag
Hard-Medium-Medium	24	44		5773.44	laag
Hard-Medium-Medium	24	45		5772.61	laag
Hard-Medium-Medium	24	46		5771.98	laag
Hard-Medium-Medium	24	47		5771.54	laag
Hard-Medium-Medium	24	48		5771.3	laag
Hard-Medium-Medium	24	49		5771.25	laag
Hard-Medium-Medium	24	50		5771.41	laag
Hard-Medium-Medium	24	51		5771.76	laag
Hard-Medium-Medium	24	52		5772.14	laag
Hard-Medium-Medium	24	53		5772.83	gemiddeld
Hard-Medium-Medium	24	54		5773.82	gemiddeld
Hard-Medium-Medium	25	43		5774.97	laag
Hard-Medium-Medium	25	44		5773.86	laag
Hard-Medium-Medium	25	45		5772.94	laag
Hard-Medium-Medium	25	46		5772.21	laag
Hard-Medium-Medium	25	47		5771.68	laag
Hard-Medium-Medium	25	48		5771.34	laag
Hard-Medium-Medium	25	49		5771.2	laag
Hard-Medium-Medium	25	50		5771.27	laag
Hard-Medium-Medium	25	51		5771.53	laag
Hard-Medium-Medium	25	52		5771.99	laag
Hard-Medium-Medium	25	53		5772.48	laag
Hard-Medium-Medium	25	54		5773.28	gemiddeld
Hard-Medium-Medium	25	55		5774.4	gemiddeld
Hard-Medium-Medium	26	44		5774.46	laag
Hard-Medium-Medium	26	45		5773.44	laag
Hard-Medium-Medium	26	46		5772.62	laag
Hard-Medium-Medium	26	47		5771.99	laag
Hard-Medium-Medium	26	48		5771.56	laag
Hard-Medium-Medium	26	49		5771.33	laag
Hard-Medium-Medium	26	50		5771.3	laag
Hard-Medium-Medium	26	51		5771.47	laag
Hard-Medium-Medium	26	52		5771.84	laag
Hard-Medium-Medium	26	53		5772.42	laag
Hard-Medium-Medium	26	54		5773.02	laag
Hard-Medium-Medium	26	55		5773.94	gemiddeld
Hard-Medium-Medium	27	45		5774.12	laag
Hard-Medium-Medium	27	46		5773.21	laag
Hard-Medium-Medium	27	47		5772.48	laag
Hard-Medium-Medium	27	48		5771.96	laag
Hard-Medium-Medium	27	49		5771.63	laag
Hard-Medium-Medium	27	50		5771.5	laag
Hard-Medium-Medium	27	51		5771.58	laag
Hard-Medium-Medium	27	52		5771.86	laag
Hard-Medium-Medium	27	53		5772.34	laag
Hard-Medium-Medium	27	54		5773.03	laag
Hard-Medium-Medium	27	55		5773.75	laag
Hard-Medium-Medium	27	56		5774.78	gemiddeld
Hard-Medium-Medium	28	45		5774.99	laag
Hard-Medium-Medium	28	46		5773.97	laag
Hard-Medium-Medium	28	47		5773.15	laag
Hard-Medium-Medium	28	48		5772.53	laag
Hard-Medium-Medium	28	49		5772.1	laag
Hard-Medium-Medium	28	50		5771.88	laag
Hard-Medium-Medium	28	51		5771.86	laag
Hard-Medium-Medium	28	52		5772.05	laag
Hard-Medium-Medium	28	53		5772.44	laag
Hard-Medium-Medium	28	54		5773.03	laag
Hard-Medium-Medium	28	55		5773.84	laag
Hard-Medium-Medium	28	56		5774.67	laag
Hard-Medium-Medium	29	46		5774.92	laag
Hard-Medium-Medium	29	47		5774.0	laag
Hard-Medium-Medium	29	48		5773.28	laag
Hard-Medium-Medium	29	49		5772.76	laag
Hard-Medium-Medium	29	50		5772.44	laag
Hard-Medium-Medium	29	51		5772.33	laag
Hard-Medium-Medium	29	52		5772.42	laag
Hard-Medium-Medium	29	53		5772.71	laag
Hard-Medium-Medium	29	54		5773.21	laag
Hard-Medium-Medium	29	55		5773.92	laag
Hard-Medium-Medium	29	56		5774.85	laag
Hard-Medium-Medium	30	48		5774.21	laag
Hard-Medium-Medium	30	49		5773.59	laag
Hard-Medium-Medium	30	50		5773.18	laag
Hard-Medium-Medium	30	51		5772.97	laag
Hard-Medium-Medium	30	52		5772.96	laag
Hard-Medium-Medium	30	53		5773.16	laag
Hard-Medium-Medium	30	54		5773.57	laag
Hard-Medium-Medium	30	55		5774.18	laag
Hard-Medium-Medium	31	49		5774.61	laag
Hard-Medium-Medium	31	50		5774.1	laag
Hard-Medium-Medium	31	51		5773.79	laag
Hard-Medium-Medium	31	52		5773.68	laag
Hard-Medium-Medium	31	53		5773.78	laag
Hard-Medium-Medium	31	54		5774.09	laag
Hard-Medium-Medium	31	55		5774.61	laag
Hard-Medium-Medium	32	51		5774.79	laag
Hard-Medium-Medium	32	52		5774.58	laag
Hard-Medium-Medium	32	53		5774.59	laag
Hard-Medium-Medium	32	54		5774.8	laag
Medium-Hard-Hard	22	46		5774.74	laag
Medium-Hard-Hard	22	47		5774.49	laag
Medium-Hard-Hard	22	48		5774.43	laag
Medium-Hard-Hard	22	49		5774.57	laag
Medium-Hard-Hard	22	50		5774.91	laag
Medium-Hard-Hard	23	45		5774.97	laag
Medium-Hard-Hard	23	46		5774.43	laag
Medium-Hard-Hard	23	47		5774.08	laag
Medium-Hard-Hard	23	48		5773.93	laag
Medium-Hard-Hard	23	49		5773.98	laag
Medium-Hard-Hard	23	50		5774.22	laag
Medium-Hard-Hard	23	51		5774.67	laag
Medium-Hard-Hard	24	45		5774.91	laag
Medium-Hard-Hard	24	46		5774.28	laag
Medium-Hard-Hard	24	47		5773.84	laag
Medium-Hard-Hard	24	48		5773.6	laag
Medium-Hard-Hard	24	49		5773.56	laag
Medium-Hard-Hard	24	50		5773.71	laag
Medium-Hard-Hard	24	51		5774.06	laag
Medium-Hard-Hard	24	52		5774.62	laag
Medium-Hard-Hard	25	45		5774.6	laag
Medium-Hard-Hard	25	46		5773.87	laag
Medium-Hard-Hard	25	47		5773.34	laag
Medium-Hard-Hard	25	48		5773.01	laag
Medium-Hard-Hard	25	49		5772.87	laag
Medium-Hard-Hard	25	50		5772.93	laag
Medium-Hard-Hard	25	51		5773.19	laag
Medium-Hard-Hard	25	52		5773.66	laag
Medium-Hard-Hard	25	53		5774.33	laag
Medium-Hard-Hard	26	45		5774.56	gemiddeld
Medium-Hard-Hard	26	46		5773.74	gemiddeld
Medium-Hard-Hard	26	47		5773.11	gemiddeld
Medium-Hard-Hard	26	48		5772.68	gemiddeld
Medium-Hard-Hard	26	49		5772.45	gemiddeld
Medium-Hard-Hard	26	50		5772.42	gemiddeld
Medium-Hard-Hard	26	51		5772.59	gemiddeld
Medium-Hard-Hard	26	52		5772.96	gemiddeld
Medium-Hard-Hard	26	53		5773.53	gemiddeld
Medium-Hard-Hard	26	54		5774.32	gemiddeld
Medium-Hard-Hard	27	45		5774.79	gemiddeld
Medium-Hard-Hard	27	46		5773.87	gemiddeld
Medium-Hard-Hard	27	47		5773.15	gemiddeld
Medium-Hard-Hard	27	48		5772.62	gemiddeld
Medium-Hard-Hard	27	49		5772.3	gemiddeld
Medium-Hard-Hard	27	50		5772.17	gemiddeld
Medium-Hard-Hard	27	51		5772.25	gemiddeld
Medium-Hard-Hard	27	52		5772.52	gemiddeld
Medium-Hard-Hard	27	53		5773.01	gemiddeld
Medium-Hard-Hard	27	54		5773.7	gemiddeld
Medium-Hard-Hard	27	55		5774.6	gemiddeld
Medium-Hard-Hard	28	46		5774.28	gemiddeld
Medium-Hard-Hard	28	47		5773.46	gemiddeld
Medium-Hard-Hard	28	48		5772.84	gemiddeld
Medium-Hard-Hard	28	49		5772.41	gemiddeld
Medium-Hard-Hard	28	50		5772.19	gemiddeld
Medium-Hard-Hard	28	51		5772.17	gemiddeld
Medium-Hard-Hard	28	52		5772.36	gemiddeld
Medium-Hard-Hard	28	53		5772.75	gemiddeld
Medium-Hard-Hard	28	54		5773.34	gemiddeld
Medium-Hard-Hard	28	55		5774.15	gemiddeld
Medium-Hard-Hard	29	46		5774.96	hoog
Medium-Hard-Hard	29	47		5774.04	hoog
Medium-Hard-Hard	29	48		5773.32	hoog
Medium-Hard-Hard	29	49		5772.8	hoog
Medium-Hard-Hard	29	50		5772.49	hoog
Medium-Hard-Hard	29	51		5772.37	hoog
Medium-Hard-Hard	29	52		5772.46	hoog
Medium-Hard-Hard	29	53		5772.75	hoog
Medium-Hard-Hard	29	54		5773.26	hoog
Medium-Hard-Hard	29	55		5773.97	hoog
Medium-Hard-Hard	29	56		5774.89	hoog
Medium-Hard-Hard	30	47		5774.9	hoog
Medium-Hard-Hard	30	48		5774.09	hoog
Medium-Hard-Hard	30	49		5773.47	hoog
Medium-Hard-Hard	30	50		5773.05	hoog
Medium-Hard-Hard	30	51		5772.84	hoog
Medium-Hard-Hard	30	52		5772.83	hoog
Medium-Hard-Hard	30	53		5773.03	hoog
Medium-Hard-Hard	30	54		5773.44	hoog
Medium-Hard-Hard	30	55		5774.05	hoog
Medium-Hard-Hard	30	56		5774.88	hoog
Medium-Hard-Hard	31	49		5774.4	zeer hoog
Medium-Hard-Hard	31	50		5773.89	zeer hoog
Medium-Hard-Hard	31	51		5773.58	zeer hoog
Medium-Hard-Hard	31	52		5773.47	zeer hoog
Medium-Hard-Hard	31	53		5773.58	zeer hoog
Medium-Hard-Hard	31	54		5773.89	zeer hoog
Medium-Hard-Hard	31	55		5774.41	zeer hoog
Medium-Hard-Medium	19	43		5774.93	laag
Medium-Hard-Medium	19	44		5774.47	laag
Medium-Hard-Medium	19	45		5774.21	laag
Medium-Hard-Medium	19	46		5774.13	laag
Medium-Hard-Medium	19	47		5774.25	laag
Medium-Hard-Medium	19	48		5774.56	laag
Medium-Hard-Medium	20	43		5774.37	laag
Medium-Hard-Medium	20	44		5773.82	laag
Medium-Hard-Medium	20	45		5773.46	laag
Medium-Hard-Medium	20	46		5773.3	laag
Medium-Hard-Medium	20	47		5773.33	laag
Medium-Hard-Medium	20	48		5773.55	laag
Medium-Hard-Medium	20	49		5773.96	laag
Medium-Hard-Medium	20	50		5774.58	laag
Medium-Hard-Medium	21	42		5774.84	laag
Medium-Hard-Medium	21	43		5773.98	laag
Medium-Hard-Medium	21	44		5773.34	laag
Medium-Hard-Medium	21	45		5772.89	laag
Medium-Hard-Medium	21	46		5772.64	laag
Medium-Hard-Medium	21	47		5772.57	laag
Medium-Hard-Medium	21	48		5772.71	laag
Medium-Hard-Medium	21	49		5773.03	laag
Medium-Hard-Medium	21	50		5773.56	laag
Medium-Hard-Medium	21	51		5774.28	laag
Medium-Hard-Medium	22	42		5774.71	laag
Medium-Hard-Medium	22	43		5773.76	laag
Medium-Hard-Medium	22	44		5773.03	laag
Medium-Hard-Medium	22	45		5772.49	laag
Medium-Hard-Medium	22	46		5772.14	laag
Medium-Hard-Medium	22	47		5771.99	laag
Medium-Hard-Medium	22	48		5772.03	laag
Medium-Hard-Medium	22	49		5772.27	laag
Medium-Hard-Medium	22	50		5772.71	laag
Medium-Hard-Medium	22	51		5773.34	laag
Medium-Hard-Medium	22	52		5774.18	laag
Medium-Hard-Medium	23	42		5774.77	laag
Medium-Hard-Medium	23	43		5773.72	laag
Medium-Hard-Medium	23	44		5772.9	laag
